fromLibrary,toLibrary,score,fromGroupArtifacts,toGroupArtifacts
jackson,json-simple,3,com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-xc;com.googlecode.json-simple:json-simple;com.github.cliftonlabs:json-simple;com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core
jackson,flexjson,2,com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-xc;net.sf.flexjson:flexjson;com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core
jackson,fastjson,2,com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;com.fasterxml.jackson.core:jackson-core,org.codehaus.jackson:jackson-xc;com.alibaba:fastjson;com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core
jackson,xstream,1,com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;com.fasterxml.jackson.core:jackson-core,xstream:xstream;com.thoughtworks.xstream:xstream;org.hudsonci.tools:xstream;org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core;io.github.benas:xstream;org.sonatype.nexus.xstream:xstream
jackson,json-lib,1,com.fasterxml.jackson.core:jackson-databind;com.fasterxml.jackson.core:jackson-annotations;com.fasterxml.jackson.core:jackson-core,com.hynnet:json-lib;org.codehaus.jackson:jackson-xc;com.fasterxml.jackson.core:jackson-databind;org.kohsuke.stapler:json-lib;com.fasterxml.jackson.core:jackson-annotations;org.codehaus.jackson:jackson-core-asl;org.codehaus.jackson:jackson-mapper-asl;com.fasterxml.jackson.core:jackson-core;net.sf.json-lib:json-lib
jasperreports,itext,1,jasperreports:jasperreports;net.sf.jasperreports:jasperreports,jasperreports:jasperreports;com.itextpdf:itextpdf;itext:itext;net.sf.jasperreports:jasperreports;com.lowagie:itext
jasypt,bouncycastle,1,org.jasypt:jasypt,org.jasypt:jasypt
java-cup,jflex,1,net.sf.squirrel-sql.thirdparty-non-maven:java-cup;edu.princeton.cup:java-cup,net.sf.squirrel-sql.thirdparty-non-maven:java-cup;de.jflex:jflex;edu.princeton.cup:java-cup
java-cup,antlr,1,net.sf.squirrel-sql.thirdparty-non-maven:java-cup;edu.princeton.cup:java-cup,antlr:antlr;org.antlr:antlr;org.antlr:antlr4;net.sf.squirrel-sql.thirdparty-non-maven:java-cup;org.antlr:antlr4-runtime;org.antlr:antlr-runtime;edu.princeton.cup:java-cup
java-getopt,jopt-simple,1,gnu.getopt:java-getopt;urbanophile:java-getopt,gnu.getopt:java-getopt;urbanophile:java-getopt;net.sf.jopt-simple:jopt-simple
